,Tile_ID,Lat1,Lat2,Long1,Long2,Mid_lat,Mid_long,Stop_Signs,Bus_stop,Paving,Collisions_Future,Collisions_Historical,Collision_binary_historical,Collision_binary_future
10045,10045,37.785057447368416,37.78596105263158,-122.40043440579711,-122.40157452173914,37.785509,-122.401004,0.0,0.0,0.0,2.0,1.0,1,1
9038,9038,37.776925,37.77782860526315,-122.39929428985508,-122.40043440579711,37.777377,-122.399864,0.0,0.0,0.0,7.0,10.0,1,1
1877,1877,37.72270868421053,37.72361228947368,-122.3890332463768,-122.39017336231883,37.72316,-122.389603,5.0,0.0,3.0,2.0,2.0,1,1
9520,9520,37.78053942105263,37.781443026315785,-122.43805823188409,-122.43919834782608,37.780991,-122.438628,0.0,3.0,0.0,2.0,2.0,1,1
1877,1877,37.72270868421053,37.72361228947368,-122.3890332463768,-122.39017336231883,37.72316,-122.389603,5.0,0.0,3.0,2.0,2.0,1,1
9577,9577,37.78053942105263,37.781443026315785,-122.50304484057972,-122.50418495652174,37.780991,-122.503615,8.0,0.0,0.0,0.0,1.0,1,0
4049,4049,37.738069973684205,37.738973578947366,-122.4038547536232,-122.40499486956524,37.738522,-122.404425,3.0,0.0,5.0,2.0,1.0,1,1
9603,9603,37.781443026315785,37.78234663157895,-122.40499486956524,-122.40613498550724,37.781895,-122.405565,1.0,0.0,0.0,3.0,3.0,1,1
9181,9181,37.77782860526315,37.77873221052632,-122.43463788405798,-122.435778,37.77828,-122.435208,4.0,2.0,0.0,0.0,1.0,1,0
2446,2446,37.72632310526316,37.72722671052631,-122.44147857971016,-122.4426186956522,37.726775,-122.442049,1.0,0.0,0.0,0.0,1.0,1,0
4466,4466,37.74078078947368,37.74168439473684,-122.46998147826088,-122.4711215942029,37.741233,-122.470552,4.0,2.0,0.0,0.0,1.0,1,0
442,442,37.71186542105263,37.71276902631578,-122.38675301449275,-122.3878931304348,37.712317,-122.387323,0.0,0.0,0.0,2.0,1.0,1,1
5732,5732,37.75072044736842,37.75162405263158,-122.41069544927537,-122.4118355652174,37.751172,-122.411266,8.0,0.0,0.0,0.0,1.0,1,0
6443,6443,37.75614207894736,37.75704568421053,-122.42323672463768,-122.42437684057973,37.756594,-122.423807,0.0,0.0,0.0,2.0,1.0,1,1
4670,4670,37.742588,37.74349160526316,-122.42209660869564,-122.42323672463768,37.74304,-122.422667,1.0,0.0,0.0,0.0,1.0,1,0
6903,6903,37.7597565,37.76066010526316,-122.4198163768116,-122.42095649275365,37.760208,-122.420386,1.0,0.0,0.0,0.0,2.0,1,0
3631,3631,37.73445555263157,37.735359157894734,-122.47226171014492,-122.47340182608696,37.734907,-122.472832,3.0,0.0,0.0,0.0,1.0,1,0
2394,2394,37.72632310526316,37.72722671052631,-122.38219255072464,-122.38333266666667,37.726775,-122.382763,2.0,0.0,0.0,0.0,1.0,1,0
1081,1081,37.716383447368415,37.717287052631576,-122.47226171014492,-122.47340182608696,37.716835,-122.472832,0.0,1.0,0.0,11.0,11.0,1,1
6322,6322,37.75523847368421,37.75614207894736,-122.41753614492754,-122.41867626086956,37.75569,-122.418106,4.0,0.0,0.0,6.0,1.0,1,1
5969,5969,37.75252765789473,37.75343126315789,-122.40727510144929,-122.40841521739132,37.752979,-122.407845,8.0,0.0,0.0,2.0,2.0,1,1
8509,8509,37.77240697368421,37.77331057894737,-122.44147857971016,-122.4426186956522,37.772859,-122.442049,0.0,0.0,0.0,1.0,2.0,1,1
5496,5496,37.7489132368421,37.74981684210526,-122.41525591304348,-122.41639602898552,37.749365,-122.415826,0.0,1.0,0.0,5.0,3.0,1,1
8295,8295,37.77059976315789,37.77150336842105,-122.45287973913044,-122.45401985507247,37.771052,-122.45345,0.0,1.0,0.0,9.0,11.0,1,1
377,377,37.710961815789474,37.71186542105263,-122.43919834782608,-122.44033846376811,37.711414,-122.439768,4.0,0.0,0.0,1.0,1.0,1,1
8370,8370,37.77150336842105,37.77240697368421,-122.41069544927537,-122.4118355652174,37.771955,-122.411266,0.0,0.0,0.0,8.0,4.0,1,1
9382,9382,37.77963581578948,37.78053942105263,-122.40841521739132,-122.40955533333334,37.780088,-122.408985,0.0,0.0,0.0,0.0,3.0,1,0
4417,4417,37.74078078947368,37.74168439473684,-122.41411579710146,-122.41525591304348,37.741233,-122.414686,3.0,0.0,0.0,0.0,1.0,1,0
9610,9610,37.781443026315785,37.78234663157895,-122.41297568115942,-122.41411579710146,37.781895,-122.413546,0.0,1.0,0.0,8.0,6.0,1,1
4610,4610,37.74168439473684,37.742588,-122.49392391304347,-122.49506402898552,37.742136,-122.494494,2.0,4.0,5.0,1.0,2.0,1,1
9448,9448,37.77963581578948,37.78053942105263,-122.48366286956522,-122.48480298550726,37.780088,-122.484233,0.0,2.0,0.0,3.0,3.0,1,1
11430,11430,37.79861152631579,37.79951513157894,-122.4426186956522,-122.4437588115942,37.799063,-122.443189,0.0,1.0,1.0,4.0,2.0,1,1
1298,1298,37.71819065789474,37.71909426315789,-122.4471791594203,-122.44831927536232,37.718642,-122.447749,0.0,0.0,0.0,0.0,2.0,1,0
10371,10371,37.78776826315789,37.78867186842105,-122.40043440579711,-122.40157452173914,37.78822,-122.401004,2.0,0.0,1.0,4.0,2.0,1,1
5199,5199,37.74620242105263,37.74710602631579,-122.474541942029,-122.47568205797104,37.746654,-122.475112,4.0,0.0,0.0,0.0,1.0,1,0
6196,6196,37.754334868421054,37.75523847368421,-122.40499486956524,-122.40613498550724,37.754787,-122.405565,2.0,0.0,0.0,0.0,1.0,1,0
8492,8492,37.77240697368421,37.77331057894737,-122.42209660869564,-122.42323672463768,37.772859,-122.422667,0.0,2.0,0.0,7.0,6.0,1,1
1054,1054,37.716383447368415,37.717287052631576,-122.44147857971016,-122.4426186956522,37.716835,-122.442049,1.0,0.0,0.0,0.0,1.0,1,0
4531,4531,37.74168439473684,37.742588,-122.4038547536232,-122.40499486956524,37.742136,-122.404425,2.0,1.0,0.0,2.0,7.0,1,1
10265,10265,37.78686465789474,37.78776826315789,-122.40157452173914,-122.40271463768116,37.787316,-122.402145,1.0,0.0,0.0,0.0,1.0,1,0
11467,11467,37.79951513157894,37.8004187368421,-122.39815417391306,-122.39929428985508,37.799967,-122.398724,2.0,0.0,0.0,0.0,1.0,1,0
8478,8478,37.77240697368421,37.77331057894737,-122.40613498550724,-122.40727510144929,37.772859,-122.406705,0.0,1.0,0.0,5.0,7.0,1,1
4553,4553,37.74168439473684,37.742588,-122.42893730434784,-122.43007742028986,37.742136,-122.429507,1.0,1.0,0.0,0.0,1.0,1,0
8291,8291,37.77059976315789,37.77150336842105,-122.44831927536232,-122.44945939130436,37.771052,-122.448889,4.0,0.0,0.0,0.0,1.0,1,0
2841,2841,37.72903392105263,37.72993752631579,-122.43463788405798,-122.435778,37.729486,-122.435208,8.0,0.0,0.0,0.0,1.0,1,0
4172,4172,37.738973578947366,37.73987718421053,-122.40955533333334,-122.41069544927537,37.739425,-122.410125,2.0,2.0,0.0,0.0,1.0,1,0
6211,6211,37.754334868421054,37.75523847368421,-122.42209660869564,-122.42323672463768,37.754787,-122.422667,0.0,0.0,0.0,6.0,7.0,1,1
9766,9766,37.78234663157895,37.78325023684211,-122.4631407826087,-122.46428089855073,37.782798,-122.463711,4.0,0.0,0.0,0.0,2.0,1,0
10261,10261,37.78686465789474,37.78776826315789,-122.39701405797102,-122.39815417391306,37.787316,-122.397584,0.0,0.0,0.0,0.0,1.0,1,0
6325,6325,37.75523847368421,37.75614207894736,-122.42095649275365,-122.42209660869564,37.75569,-122.421527,1.0,0.0,0.0,5.0,2.0,1,1
7415,7415,37.76337092105263,37.76427452631579,-122.47910240579712,-122.48024252173914,37.763823,-122.479672,4.0,0.0,0.0,0.0,1.0,1,0
7914,7914,37.76788894736842,37.76879255263158,-122.4038547536232,-122.40499486956524,37.768341,-122.404425,8.0,0.0,4.0,0.0,1.0,1,0
11413,11413,37.79861152631579,37.79951513157894,-122.42323672463768,-122.42437684057973,37.799063,-122.423807,0.0,0.0,0.0,3.0,3.0,1,1
11341,11341,37.79770792105264,37.79861152631579,-122.43007742028986,-122.43121753623188,37.79816,-122.430647,4.0,1.0,3.0,2.0,2.0,1,1
9550,9550,37.78053942105263,37.781443026315785,-122.47226171014492,-122.47340182608696,37.780991,-122.472832,2.0,2.0,0.0,5.0,4.0,1,1
2063,2063,37.72361228947368,37.72451589473684,-122.45401985507247,-122.4551599710145,37.724064,-122.45459,0.0,0.0,0.0,0.0,2.0,1,0
4670,4670,37.742588,37.74349160526316,-122.42209660869564,-122.42323672463768,37.74304,-122.422667,1.0,0.0,0.0,0.0,1.0,1,0
7641,7641,37.76517813157895,37.7660817368421,-122.47910240579712,-122.48024252173914,37.76563,-122.479672,1.0,2.0,0.0,3.0,2.0,1,1
9191,9191,37.77782860526315,37.77873221052632,-122.44603904347828,-122.4471791594203,37.77828,-122.446609,0.0,1.0,3.0,1.0,2.0,1,1
11150,11150,37.79590071052631,37.79680431578947,-122.39473382608696,-122.39587394202898,37.796353,-122.395304,0.0,1.0,0.0,6.0,7.0,1,1
10045,10045,37.785057447368416,37.78596105263158,-122.40043440579711,-122.40157452173914,37.785509,-122.401004,0.0,0.0,0.0,2.0,1.0,1,1
10929,10929,37.79318989473684,37.7940935,-122.42551695652176,-122.42665707246375,37.793642,-122.426087,0.0,0.0,0.0,1.0,1.0,1,1
1017,1017,37.716383447368415,37.717287052631576,-122.39929428985508,-122.40043440579711,37.716835,-122.399864,3.0,2.0,3.0,0.0,1.0,1,0
7728,7728,37.7660817368421,37.76698534210526,-122.44945939130436,-122.45059950724638,37.766534,-122.450029,4.0,1.0,0.0,2.0,3.0,1,1
7638,7638,37.76517813157895,37.7660817368421,-122.47568205797104,-122.47682217391304,37.76563,-122.476252,1.0,0.0,0.0,1.0,1.0,1,1
8856,8856,37.77511778947368,37.77602139473685,-122.44603904347828,-122.4471791594203,37.77557,-122.446609,0.0,4.0,4.0,4.0,5.0,1,1
4169,4169,37.738973578947366,37.73987718421053,-122.40613498550724,-122.40727510144929,37.739425,-122.406705,1.0,4.0,0.0,8.0,5.0,1,1
8754,8754,37.77421418421052,37.77511778947368,-122.45744020289855,-122.4585803188406,37.774666,-122.45801,0.0,3.0,1.0,3.0,11.0,1,1
11695,11695,37.80222594736842,37.80312955263157,-122.40157452173914,-122.40271463768116,37.802678,-122.402145,0.0,0.0,0.0,0.0,2.0,1,0
7133,7133,37.76156371052632,37.76246731578947,-122.41867626086956,-122.4198163768116,37.762016,-122.419246,0.0,2.0,0.0,13.0,7.0,1,1
8769,8769,37.77421418421052,37.77511778947368,-122.474541942029,-122.47568205797104,37.774666,-122.475112,4.0,0.0,0.0,0.0,1.0,1,0
9292,9292,37.77873221052632,37.77963581578948,-122.43349776811594,-122.43463788405798,37.779184,-122.434068,0.0,0.0,0.0,2.0,3.0,1,1
864,864,37.714576236842106,37.71547984210526,-122.48480298550726,-122.48594310144928,37.715028,-122.485373,0.0,0.0,0.0,4.0,10.0,1,1
5619,5619,37.74981684210526,37.75072044736842,-122.41867626086956,-122.4198163768116,37.750269,-122.419246,5.0,0.0,0.0,0.0,2.0,1,0
7349,7349,37.76337092105263,37.76427452631579,-122.4038547536232,-122.40499486956524,37.763823,-122.404425,2.0,0.0,3.0,0.0,1.0,1,0
10158,10158,37.78596105263158,37.78686465789474,-122.4038547536232,-122.40499486956524,37.786413,-122.404425,0.0,1.0,0.0,0.0,6.0,1,0
6750,6750,37.757949289473686,37.75885289473684,-122.50874542028986,-122.50988553623188,37.758401,-122.509315,3.0,0.0,0.0,0.0,2.0,1,0
8479,8479,37.77240697368421,37.77331057894737,-122.40727510144929,-122.40841521739132,37.772859,-122.407845,0.0,0.0,0.0,2.0,3.0,1,1
11992,11992,37.80584036842105,37.806743973684206,-122.4198163768116,-122.42095649275365,37.806292,-122.420386,0.0,2.0,0.0,1.0,4.0,1,1
9168,9168,37.77782860526315,37.77873221052632,-122.4198163768116,-122.42095649275365,37.77828,-122.420386,0.0,0.0,0.0,2.0,9.0,1,1
6198,6198,37.754334868421054,37.75523847368421,-122.40727510144929,-122.40841521739132,37.754787,-122.407845,8.0,0.0,0.0,0.0,1.0,1,0
1695,1695,37.72090147368421,37.72180507894737,-122.4711215942029,-122.47226171014492,37.721353,-122.471692,2.0,1.0,0.0,0.0,4.0,1,0
2134,2134,37.72451589473684,37.7254195,-122.38675301449275,-122.3878931304348,37.724968,-122.387323,2.0,0.0,3.0,1.0,3.0,1,1
6900,6900,37.7597565,37.76066010526316,-122.41639602898552,-122.41753614492754,37.760208,-122.416966,0.0,0.0,0.0,2.0,6.0,1,1
9725,9725,37.78234663157895,37.78325023684211,-122.41639602898552,-122.41753614492754,37.782798,-122.416966,0.0,2.0,0.0,8.0,11.0,1,1
6198,6198,37.754334868421054,37.75523847368421,-122.40727510144929,-122.40841521739132,37.754787,-122.407845,8.0,0.0,0.0,0.0,1.0,1,0
3207,3207,37.7317447368421,37.732648342105264,-122.40499486956524,-122.40613498550724,37.732197,-122.405565,0.0,4.0,0.0,9.0,7.0,1,1
9700,9700,37.78234663157895,37.78325023684211,-122.3878931304348,-122.3890332463768,37.782798,-122.388463,0.0,0.0,0.0,3.0,1.0,1,1
4455,4455,37.74078078947368,37.74168439473684,-122.45744020289855,-122.4585803188406,37.741233,-122.45801,2.0,1.0,0.0,0.0,1.0,1,0
5736,5736,37.75072044736842,37.75162405263158,-122.41525591304348,-122.41639602898552,37.751172,-122.415826,0.0,0.0,0.0,3.0,1.0,1,1
8711,8711,37.77421418421052,37.77511778947368,-122.40841521739132,-122.40955533333334,37.774666,-122.408985,0.0,0.0,0.0,1.0,8.0,1,1
1632,1632,37.72090147368421,37.72180507894737,-122.39929428985508,-122.40043440579711,37.721353,-122.399864,2.0,0.0,0.0,4.0,3.0,1,1
7136,7136,37.76156371052632,37.76246731578947,-122.42209660869564,-122.42323672463768,37.762016,-122.422667,1.0,0.0,0.0,1.0,1.0,1,1
5748,5748,37.75072044736842,37.75162405263158,-122.42893730434784,-122.43007742028986,37.751172,-122.429507,8.0,1.0,0.0,1.0,1.0,1,1
10273,10273,37.78686465789474,37.78776826315789,-122.41069544927537,-122.4118355652174,37.787316,-122.411266,0.0,1.0,0.0,5.0,4.0,1,1
8189,8189,37.769696157894735,37.77059976315789,-122.4597204347826,-122.46086055072465,37.770148,-122.46029,3.0,0.0,0.0,1.0,1.0,1,1
11566,11566,37.8004187368421,37.80132234210527,-122.42437684057973,-122.42551695652176,37.800871,-122.424947,0.0,0.0,0.0,4.0,3.0,1,1
8136,8136,37.769696157894735,37.77059976315789,-122.39929428985508,-122.40043440579711,37.770148,-122.399864,1.0,0.0,0.0,1.0,2.0,1,1
3433,3433,37.73355194736842,37.73445555263157,-122.38219255072464,-122.38333266666667,37.734004,-122.382763,3.0,0.0,0.0,2.0,1.0,1,1
7436,7436,37.76337092105263,37.76427452631579,-122.50304484057972,-122.50418495652174,37.763823,-122.503615,1.0,0.0,0.0,0.0,1.0,1,0
3801,3801,37.736262763157896,37.73716636842105,-122.39473382608696,-122.39587394202898,37.736715,-122.395304,0.0,0.0,3.0,2.0,1.0,1,1
10276,10276,37.78686465789474,37.78776826315789,-122.41411579710146,-122.41525591304348,37.787316,-122.414686,0.0,1.0,0.0,3.0,1.0,1,1
1882,1882,37.72270868421053,37.72361228947368,-122.39473382608696,-122.39587394202898,37.72316,-122.395304,0.0,2.0,0.0,1.0,2.0,1,1
8406,8406,37.77150336842105,37.77240697368421,-122.45173962318842,-122.45287973913044,37.771955,-122.45231,0.0,0.0,0.0,2.0,1.0,1,1
7732,7732,37.7660817368421,37.76698534210526,-122.45401985507247,-122.4551599710145,37.766534,-122.45459,3.0,2.0,0.0,1.0,2.0,1,1
10928,10928,37.79318989473684,37.7940935,-122.42437684057973,-122.42551695652176,37.793642,-122.424947,0.0,0.0,0.0,2.0,1.0,1,1
8240,8240,37.77059976315789,37.77150336842105,-122.39017336231883,-122.39131347826088,37.771052,-122.390743,0.0,0.0,0.0,1.0,2.0,1,1
4075,4075,37.738069973684205,37.738973578947366,-122.43349776811594,-122.43463788405798,37.738522,-122.434068,6.0,4.0,0.0,0.0,1.0,1,0
3096,3096,37.73084113157894,37.7317447368421,-122.42437684057973,-122.42551695652176,37.731293,-122.424947,0.0,0.0,1.0,2.0,1.0,1,1
10310,10310,37.78686465789474,37.78776826315789,-122.45287973913044,-122.45401985507247,37.787316,-122.45345,4.0,0.0,3.0,1.0,1.0,1,1
1155,1155,37.717287052631576,37.71819065789474,-122.42209660869564,-122.42323672463768,37.717739,-122.422667,0.0,2.0,0.0,0.0,2.0,1,0
6941,6941,37.7597565,37.76066010526316,-122.4631407826087,-122.46428089855073,37.760208,-122.463711,0.0,0.0,0.0,2.0,1.0,1,1
1291,1291,37.71819065789474,37.71909426315789,-122.43919834782608,-122.44033846376811,37.718642,-122.439768,0.0,1.0,0.0,1.0,2.0,1,1
10368,10368,37.78776826315789,37.78867186842105,-122.39701405797102,-122.39815417391306,37.78822,-122.397584,1.0,0.0,0.0,0.0,2.0,1,0
9541,9541,37.78053942105263,37.781443026315785,-122.46200066666668,-122.4631407826087,37.780991,-122.462571,0.0,0.0,0.0,4.0,4.0,1,1
11320,11320,37.79770792105264,37.79861152631579,-122.40613498550724,-122.40727510144929,37.79816,-122.406705,0.0,2.0,9.0,5.0,6.0,1,1
6570,6570,37.75704568421053,37.757949289473686,-122.435778,-122.43691811594204,37.757497,-122.436348,8.0,1.0,0.0,1.0,2.0,1,1
2148,2148,37.72451589473684,37.7254195,-122.40271463768116,-122.4038547536232,37.724968,-122.403285,4.0,0.0,0.0,0.0,2.0,1,0
7543,7543,37.76427452631579,37.76517813157895,-122.49620414492756,-122.49734426086955,37.764726,-122.496774,0.0,1.0,0.0,1.0,1.0,1,1
5970,5970,37.75252765789473,37.75343126315789,-122.40841521739132,-122.40955533333334,37.752979,-122.408985,0.0,4.0,0.0,4.0,1.0,1,1
9038,9038,37.776925,37.77782860526315,-122.39929428985508,-122.40043440579711,37.777377,-122.399864,0.0,0.0,0.0,7.0,10.0,1,1
2970,2970,37.72993752631579,37.73084113157894,-122.42893730434784,-122.43007742028986,37.730389,-122.429507,0.0,2.0,2.0,4.0,4.0,1,1
5092,5092,37.74529881578947,37.74620242105263,-122.48936344927536,-122.4905035652174,37.745751,-122.489934,4.0,0.0,0.0,0.0,1.0,1,0
9870,9870,37.78325023684211,37.78415384210526,-122.45401985507247,-122.4551599710145,37.783702,-122.45459,4.0,0.0,0.0,1.0,1.0,1,1
8601,8601,37.77331057894737,37.77421418421052,-122.41411579710146,-122.41525591304348,37.773762,-122.414686,0.0,0.0,0.0,3.0,5.0,1,1
4177,4177,37.738973578947366,37.73987718421053,-122.41525591304348,-122.41639602898552,37.739425,-122.415826,2.0,1.0,0.0,0.0,1.0,1,0
6898,6898,37.7597565,37.76066010526316,-122.41411579710146,-122.41525591304348,37.760208,-122.414686,0.0,0.0,0.0,3.0,6.0,1,1
7732,7732,37.7660817368421,37.76698534210526,-122.45401985507247,-122.4551599710145,37.766534,-122.45459,3.0,2.0,0.0,1.0,2.0,1,1
2298,2298,37.7254195,37.72632310526316,-122.42437684057973,-122.42551695652176,37.725871,-122.424947,1.0,0.0,3.0,0.0,1.0,1,0
7362,7362,37.76337092105263,37.76427452631579,-122.41867626086956,-122.4198163768116,37.763823,-122.419246,0.0,0.0,0.0,1.0,9.0,1,1
2302,2302,37.7254195,37.72632310526316,-122.42893730434784,-122.43007742028986,37.725871,-122.429507,4.0,0.0,3.0,0.0,1.0,1,0
3051,3051,37.73084113157894,37.7317447368421,-122.3730716231884,-122.37421173913044,37.731293,-122.373642,1.0,2.0,0.0,0.0,1.0,1,0
8938,8938,37.77602139473685,37.776925,-122.4118355652174,-122.41297568115942,37.776473,-122.412406,0.0,0.0,0.0,4.0,4.0,1,1
8926,8926,37.77602139473685,37.776925,-122.39815417391306,-122.39929428985508,37.776473,-122.398724,0.0,1.0,0.0,4.0,6.0,1,1
8541,8541,37.77240697368421,37.77331057894737,-122.47796228985509,-122.47910240579712,37.772859,-122.478532,1.0,0.0,0.0,5.0,4.0,1,1
1924,1924,37.72270868421053,37.72361228947368,-122.4426186956522,-122.4437588115942,37.72316,-122.443189,2.0,0.0,0.0,0.0,1.0,1,0
2801,2801,37.72903392105263,37.72993752631579,-122.3890332463768,-122.39017336231883,37.729486,-122.389603,4.0,0.0,0.0,1.0,1.0,1,1
4444,4444,37.74078078947368,37.74168439473684,-122.44489892753624,-122.44603904347828,37.741233,-122.445469,1.0,2.0,0.0,0.0,1.0,1,0
3063,3063,37.73084113157894,37.7317447368421,-122.38675301449275,-122.3878931304348,37.731293,-122.387323,4.0,0.0,2.0,0.0,1.0,1,0
10754,10754,37.791382684210525,37.79228628947368,-122.4198163768116,-122.42095649275365,37.791834,-122.420386,0.0,1.0,0.0,0.0,5.0,1,0
8751,8751,37.77421418421052,37.77511778947368,-122.45401985507247,-122.4551599710145,37.774666,-122.45459,0.0,3.0,1.0,8.0,4.0,1,1
11705,11705,37.80222594736842,37.80312955263157,-122.41297568115942,-122.41411579710146,37.802678,-122.413546,4.0,3.0,0.0,2.0,1.0,1,1
7821,7821,37.76698534210526,37.76788894736842,-122.42665707246375,-122.4277971884058,37.767437,-122.427227,0.0,0.0,0.0,1.0,3.0,1,1
3797,3797,37.736262763157896,37.73716636842105,-122.39017336231883,-122.39131347826088,37.736715,-122.390743,4.0,0.0,0.0,2.0,1.0,1,1
5974,5974,37.75252765789473,37.75343126315789,-122.41297568115942,-122.41411579710146,37.752979,-122.413546,5.0,1.0,0.0,1.0,2.0,1,1
10838,10838,37.79228628947368,37.79318989473684,-122.41753614492754,-122.41867626086956,37.792738,-122.418106,2.0,2.0,0.0,0.0,1.0,1,0
2046,2046,37.72361228947368,37.72451589473684,-122.43463788405798,-122.435778,37.724064,-122.435208,1.0,0.0,0.0,2.0,3.0,1,1
5565,5565,37.7489132368421,37.74981684210526,-122.49392391304347,-122.49506402898552,37.749365,-122.494494,2.0,1.0,3.0,1.0,1.0,1,1
8168,8168,37.769696157894735,37.77059976315789,-122.435778,-122.43691811594204,37.770148,-122.436348,4.0,0.0,1.0,3.0,2.0,1,1
2534,2534,37.72722671052631,37.72813031578947,-122.39017336231883,-122.39131347826088,37.727679,-122.390743,8.0,2.0,2.0,2.0,1.0,1,1
6075,6075,37.75343126315789,37.754334868421054,-122.39815417391306,-122.39929428985508,37.753883,-122.398724,4.0,1.0,1.0,0.0,1.0,1,0
10204,10204,37.78596105263158,37.78686465789474,-122.45630008695652,-122.45744020289855,37.786413,-122.45687,0.0,2.0,0.0,0.0,1.0,1,0
2934,2934,37.72993752631579,37.73084113157894,-122.3878931304348,-122.3890332463768,37.730389,-122.388463,8.0,0.0,0.0,7.0,5.0,1,1
7706,7706,37.7660817368421,37.76698534210526,-122.42437684057973,-122.42551695652176,37.766534,-122.424947,0.0,0.0,0.0,0.0,1.0,1,0
11924,11924,37.8049367631579,37.80584036842105,-122.42095649275365,-122.42209660869564,37.805389,-122.421527,0.0,1.0,2.0,1.0,2.0,1,1
1290,1290,37.71819065789474,37.71909426315789,-122.43805823188409,-122.43919834782608,37.718642,-122.438628,0.0,0.0,0.0,0.0,1.0,1,0
10650,10650,37.79047907894737,37.791382684210525,-122.40157452173914,-122.40271463768116,37.790931,-122.402145,0.0,0.0,0.0,4.0,4.0,1,1
6196,6196,37.754334868421054,37.75523847368421,-122.40499486956524,-122.40613498550724,37.754787,-122.405565,2.0,0.0,0.0,0.0,1.0,1,0
5208,5208,37.74620242105263,37.74710602631579,-122.48480298550726,-122.48594310144928,37.746654,-122.485373,2.0,0.0,0.0,0.0,1.0,1,0
7922,7922,37.76788894736842,37.76879255263158,-122.41297568115942,-122.41411579710146,37.768341,-122.413546,5.0,0.0,0.0,2.0,3.0,1,1
10262,10262,37.78686465789474,37.78776826315789,-122.39815417391306,-122.39929428985508,37.787316,-122.398724,0.0,0.0,6.0,1.0,2.0,1,1
7728,7728,37.7660817368421,37.76698534210526,-122.44945939130436,-122.45059950724638,37.766534,-122.450029,4.0,1.0,0.0,2.0,3.0,1,1
1576,1576,37.719997868421046,37.72090147368421,-122.47796228985509,-122.47910240579712,37.72045,-122.478532,1.0,0.0,5.0,0.0,1.0,1,0
4151,4151,37.738973578947366,37.73987718421053,-122.38561289855072,-122.38675301449275,37.739425,-122.386183,7.0,1.0,0.0,3.0,3.0,1,1
9628,9628,37.781443026315785,37.78234663157895,-122.43349776811594,-122.43463788405798,37.781895,-122.434068,3.0,0.0,0.0,0.0,1.0,1,0
11923,11923,37.8049367631579,37.80584036842105,-122.4198163768116,-122.42095649275365,37.805389,-122.420386,0.0,4.0,0.0,1.0,1.0,1,1
11076,11076,37.79499710526316,37.79590071052631,-122.40271463768116,-122.4038547536232,37.795449,-122.403285,1.0,0.0,4.0,4.0,1.0,1,1
3655,3655,37.73445555263157,37.735359157894734,-122.49962449275364,-122.50076460869566,37.734907,-122.500195,1.0,1.0,0.0,1.0,1.0,1,1
