,Tile_ID,Lat1,Lat2,Long1,Long2,Mid_lat,Mid_long,Stop_Signs,Bus_stop,Paving,Future,Historical,Collision_rate,Collision_rate_score,Collision_binary
10865,10865,37.79228628947368,37.79318989473684,-122.44831927536232,-122.44945939130436,37.792738,-122.448889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10758,10758,37.791382684210525,37.79228628947368,-122.42437684057973,-122.42551695652176,37.791834,-122.424947,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
9665,9665,37.781443026315785,37.78234663157895,-122.47568205797104,-122.47682217391304,37.781895,-122.476252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10609,10609,37.78957547368421,37.79047907894737,-122.45630008695652,-122.45744020289855,37.790027,-122.45687,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
10884,10884,37.79228628947368,37.79318989473684,-122.46998147826088,-122.4711215942029,37.792738,-122.470552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4580,4580,37.74168439473684,37.742588,-122.4597204347826,-122.46086055072465,37.742136,-122.46029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4874,4874,37.74439521052632,37.74529881578947,-122.37763208695652,-122.37877220289856,37.744847,-122.378202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4630,4630,37.742588,37.74349160526316,-122.3764919710145,-122.37763208695652,37.74304,-122.377062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7498,7498,37.76427452631579,37.76517813157895,-122.44489892753624,-122.44603904347828,37.764726,-122.445469,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0
2386,2386,37.72632310526316,37.72722671052631,-122.3730716231884,-122.37421173913044,37.726775,-122.373642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6772,6772,37.75885289473684,37.7597565,-122.40157452173914,-122.40271463768116,37.759305,-122.402145,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0
1873,1873,37.72270868421053,37.72361228947368,-122.3844727826087,-122.38561289855072,37.72316,-122.385043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3031,3031,37.72993752631579,37.73084113157894,-122.4984843768116,-122.49962449275364,37.730389,-122.499054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5768,5768,37.75072044736842,37.75162405263158,-122.45173962318842,-122.45287973913044,37.751172,-122.45231,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0
9681,9681,37.781443026315785,37.78234663157895,-122.49392391304347,-122.49506402898552,37.781895,-122.494494,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0
8405,8405,37.77150336842105,37.77240697368421,-122.45059950724638,-122.45173962318842,37.771955,-122.45117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2467,2467,37.72632310526316,37.72722671052631,-122.46542101449276,-122.46656113043478,37.726775,-122.465991,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
7999,7999,37.76788894736842,37.76879255263158,-122.50076460869566,-122.50190472463768,37.768341,-122.501335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10071,10071,37.785057447368416,37.78596105263158,-122.43007742028986,-122.43121753623188,37.785509,-122.430647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6244,6244,37.754334868421054,37.75523847368421,-122.4597204347826,-122.46086055072465,37.754787,-122.46029,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0
6401,6401,37.75523847368421,37.75614207894736,-122.50760530434783,-122.50874542028986,37.75569,-122.508175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3732,3732,37.735359157894734,37.736262763157896,-122.45173962318842,-122.45287973913044,37.735811,-122.45231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11952,11952,37.8049367631579,37.80584036842105,-122.45287973913044,-122.45401985507247,37.805389,-122.45345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3098,3098,37.73084113157894,37.7317447368421,-122.42665707246375,-122.4277971884058,37.731293,-122.427227,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
7956,7956,37.76788894736842,37.76879255263158,-122.45173962318842,-122.45287973913044,37.768341,-122.45231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12000,12000,37.80584036842105,37.806743973684206,-122.42893730434784,-122.43007742028986,37.806292,-122.429507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12031,12031,37.80584036842105,37.806743973684206,-122.474541942029,-122.47568205797104,37.806292,-122.475112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6435,6435,37.75614207894736,37.75704568421053,-122.41411579710146,-122.41525591304348,37.756594,-122.414686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7206,7206,37.76156371052632,37.76246731578947,-122.50190472463768,-122.50304484057972,37.762016,-122.502475,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4608,4608,37.74168439473684,37.742588,-122.49164368115945,-122.49278379710144,37.742136,-122.492214,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0
11051,11051,37.7940935,37.79499710526316,-122.46884136231884,-122.46998147826088,37.794545,-122.469411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9046,9046,37.776925,37.77782860526315,-122.40841521739132,-122.40955533333334,37.777377,-122.408985,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
7232,7232,37.76246731578947,37.76337092105263,-122.39929428985508,-122.40043440579711,37.762919,-122.399864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5780,5780,37.75072044736842,37.75162405263158,-122.46542101449276,-122.46656113043478,37.751172,-122.465991,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0
6170,6170,37.75343126315789,37.754334868421054,-122.5064651884058,-122.50760530434783,37.753883,-122.507035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6510,6510,37.75614207894736,37.75704568421053,-122.49962449275364,-122.50076460869566,37.756594,-122.500195,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2337,2337,37.7254195,37.72632310526316,-122.46884136231884,-122.46998147826088,37.725871,-122.469411,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0
7240,7240,37.76246731578947,37.76337092105263,-122.40841521739132,-122.40955533333334,37.762919,-122.408985,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3896,3896,37.736262763157896,37.73716636842105,-122.50304484057972,-122.50418495652174,37.736715,-122.503615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6916,6916,37.7597565,37.76066010526316,-122.43463788405798,-122.435778,37.760208,-122.435208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5672,5672,37.74981684210526,37.75072044736842,-122.47910240579712,-122.48024252173914,37.750269,-122.479672,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7859,7859,37.76698534210526,37.76788894736842,-122.46998147826088,-122.4711215942029,37.767437,-122.470552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2793,2793,37.72903392105263,37.72993752631579,-122.37991231884058,-122.38105243478262,37.729486,-122.380482,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
4528,4528,37.74168439473684,37.742588,-122.40043440579711,-122.40157452173914,37.742136,-122.401004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3885,3885,37.736262763157896,37.73716636842105,-122.4905035652174,-122.49164368115945,37.736715,-122.491074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8523,8523,37.77240697368421,37.77331057894737,-122.45744020289855,-122.4585803188406,37.772859,-122.45801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10817,10817,37.79228628947368,37.79318989473684,-122.39359371014493,-122.39473382608696,37.792738,-122.394164,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0
1708,1708,37.72090147368421,37.72180507894737,-122.48594310144928,-122.48708321739132,37.721353,-122.486513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7432,7432,37.76337092105263,37.76427452631579,-122.4984843768116,-122.49962449275364,37.763823,-122.499054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10531,10531,37.78867186842105,37.78957547368421,-122.46998147826088,-122.4711215942029,37.789124,-122.470552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12092,12092,37.80764757894737,37.80855118421053,-122.36281057971016,-122.36395069565218,37.808099,-122.363381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
28,28,37.708251,37.70915460526315,-122.42323672463768,-122.42437684057973,37.708703,-122.423807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2855,2855,37.72903392105263,37.72993752631579,-122.45059950724638,-122.45173962318842,37.729486,-122.45117,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0
4059,4059,37.738069973684205,37.738973578947366,-122.41525591304348,-122.41639602898552,37.738522,-122.415826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10220,10220,37.78596105263158,37.78686465789474,-122.474541942029,-122.47568205797104,37.786413,-122.475112,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
312,312,37.71005821052631,37.710961815789474,-122.49164368115945,-122.49278379710144,37.71051,-122.492214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4883,4883,37.74439521052632,37.74529881578947,-122.3878931304348,-122.3890332463768,37.744847,-122.388463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1995,1995,37.72361228947368,37.72451589473684,-122.3764919710145,-122.37763208695652,37.724064,-122.377062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8434,8434,37.77150336842105,37.77240697368421,-122.48366286956522,-122.48480298550726,37.771955,-122.484233,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
9437,9437,37.77963581578948,37.78053942105263,-122.4711215942029,-122.47226171014492,37.780088,-122.471692,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
11033,11033,37.7940935,37.79499710526316,-122.44831927536232,-122.44945939130436,37.794545,-122.448889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5820,5820,37.75072044736842,37.75162405263158,-122.51102565217391,-122.51216576811596,37.751172,-122.511596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1984,1984,37.72361228947368,37.72451589473684,-122.36395069565218,-122.3650908115942,37.724064,-122.364521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1490,1490,37.719997868421046,37.72090147368421,-122.3730716231884,-122.37421173913044,37.72045,-122.373642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
837,837,37.714576236842106,37.71547984210526,-122.45401985507247,-122.4551599710145,37.715028,-122.45459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11463,11463,37.79861152631579,37.79951513157894,-122.48024252173914,-122.48138263768116,37.799063,-122.480813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2628,2628,37.72722671052631,37.72813031578947,-122.49734426086955,-122.4984843768116,37.727679,-122.497914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3731,3731,37.735359157894734,37.736262763157896,-122.45059950724638,-122.45173962318842,37.735811,-122.45117,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12182,12182,37.80855118421053,37.80945478947368,-122.474541942029,-122.47568205797104,37.809003,-122.475112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2391,2391,37.72632310526316,37.72722671052631,-122.37877220289856,-122.37991231884058,37.726775,-122.379342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8759,8759,37.77421418421052,37.77511778947368,-122.4631407826087,-122.46428089855073,37.774666,-122.463711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8915,8915,37.77602139473685,37.776925,-122.38561289855072,-122.38675301449275,37.776473,-122.386183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12201,12201,37.80945478947368,37.81035839473684,-122.41525591304348,-122.41639602898552,37.809907,-122.415826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1854,1854,37.72180507894737,37.72270868421053,-122.50760530434783,-122.50874542028986,37.722257,-122.508175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4730,4730,37.742588,37.74349160526316,-122.4905035652174,-122.49164368115945,37.74304,-122.491074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5350,5350,37.74800963157895,37.7489132368421,-122.3844727826087,-122.38561289855072,37.748461,-122.385043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7138,7138,37.76156371052632,37.76246731578947,-122.42437684057973,-122.42551695652176,37.762016,-122.424947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8923,8923,37.77602139473685,37.776925,-122.39473382608696,-122.39587394202898,37.776473,-122.395304,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0
949,949,37.71547984210526,37.716383447368415,-122.45401985507247,-122.4551599710145,37.715932,-122.45459,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0
4461,4461,37.74078078947368,37.74168439473684,-122.46428089855073,-122.46542101449276,37.741233,-122.464851,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0
7661,7661,37.76517813157895,37.7660817368421,-122.50190472463768,-122.50304484057972,37.76563,-122.502475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10034,10034,37.785057447368416,37.78596105263158,-122.3878931304348,-122.3890332463768,37.785509,-122.388463,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0
1040,1040,37.716383447368415,37.717287052631576,-122.42551695652176,-122.42665707246375,37.716835,-122.426087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5392,5392,37.74800963157895,37.7489132368421,-122.43235765217392,-122.43349776811594,37.748461,-122.432928,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
11720,11720,37.80222594736842,37.80312955263157,-122.43007742028986,-122.43121753623188,37.802678,-122.430647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4614,4614,37.74168439473684,37.742588,-122.4984843768116,-122.49962449275364,37.742136,-122.499054,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0
11571,11571,37.8004187368421,37.80132234210527,-122.43007742028986,-122.43121753623188,37.800871,-122.430647,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0
7069,7069,37.76066010526316,37.76156371052632,-122.47796228985509,-122.47910240579712,37.761112,-122.478532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6879,6879,37.7597565,37.76066010526316,-122.3924535942029,-122.39359371014493,37.760208,-122.393024,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0
11954,11954,37.8049367631579,37.80584036842105,-122.4551599710145,-122.45630008695652,37.805389,-122.45573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11998,11998,37.80584036842105,37.806743973684206,-122.42665707246375,-122.4277971884058,37.806292,-122.427227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3951,3951,37.73716636842105,37.738069973684205,-122.42893730434784,-122.43007742028986,37.737618,-122.429507,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0
3663,3663,37.73445555263157,37.735359157894734,-122.50874542028986,-122.50988553623188,37.734907,-122.509315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4748,4748,37.74349160526316,37.74439521052632,-122.3719315072464,-122.3730716231884,37.743943,-122.372502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10623,10623,37.78957547368421,37.79047907894737,-122.47226171014492,-122.47340182608696,37.790027,-122.472832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4367,4367,37.73987718421053,37.74078078947368,-122.49734426086955,-122.4984843768116,37.740329,-122.497914,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7106,7106,37.76156371052632,37.76246731578947,-122.3878931304348,-122.3890332463768,37.762016,-122.388463,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
6542,6542,37.75704568421053,37.757949289473686,-122.4038547536232,-122.40499486956524,37.757497,-122.404425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6691,6691,37.757949289473686,37.75885289473684,-122.44147857971016,-122.4426186956522,37.758401,-122.442049,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0
3020,3020,37.72993752631579,37.73084113157894,-122.48594310144928,-122.48708321739132,37.730389,-122.486513,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
4504,4504,37.74168439473684,37.742588,-122.3730716231884,-122.37421173913044,37.742136,-122.373642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8816,8816,37.77511778947368,37.77602139473685,-122.40043440579711,-122.40157452173914,37.77557,-122.401004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
6638,6638,37.757949289473686,37.75885289473684,-122.38105243478262,-122.38219255072464,37.758401,-122.381622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7858,7858,37.76698534210526,37.76788894736842,-122.46884136231884,-122.46998147826088,37.767437,-122.469411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10360,10360,37.78776826315789,37.78867186842105,-122.3878931304348,-122.3890332463768,37.78822,-122.388463,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0
5716,5716,37.75072044736842,37.75162405263158,-122.3924535942029,-122.39359371014493,37.751172,-122.393024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6241,6241,37.754334868421054,37.75523847368421,-122.45630008695652,-122.45744020289855,37.754787,-122.45687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4699,4699,37.742588,37.74349160526316,-122.4551599710145,-122.45630008695652,37.74304,-122.45573,5.0,4.0,0.0,1.0,0.0,0.0,0.0,0
10524,10524,37.78867186842105,37.78957547368421,-122.46200066666668,-122.4631407826087,37.789124,-122.462571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2829,2829,37.72903392105263,37.72993752631579,-122.42095649275365,-122.42209660869564,37.729486,-122.421527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2573,2573,37.72722671052631,37.72813031578947,-122.43463788405798,-122.435778,37.727679,-122.435208,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0
4100,4100,37.738069973684205,37.738973578947366,-122.46200066666668,-122.4631407826087,37.738522,-122.462571,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0
4160,4160,37.738973578947366,37.73987718421053,-122.39587394202898,-122.39701405797102,37.739425,-122.396444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6479,6479,37.75614207894736,37.75704568421053,-122.46428089855073,-122.46542101449276,37.756594,-122.464851,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5251,5251,37.74710602631579,37.74800963157895,-122.39815417391306,-122.39929428985508,37.747558,-122.398724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2490,2490,37.72632310526316,37.72722671052631,-122.49164368115945,-122.49278379710144,37.726775,-122.492214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1273,1273,37.71819065789474,37.71909426315789,-122.41867626086956,-122.4198163768116,37.718642,-122.419246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
950,950,37.71547984210526,37.716383447368415,-122.4551599710145,-122.45630008695652,37.715932,-122.45573,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
7794,7794,37.76698534210526,37.76788894736842,-122.39587394202898,-122.39701405797102,37.767437,-122.396444,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5243,5243,37.74710602631579,37.74800963157895,-122.3890332463768,-122.39017336231883,37.747558,-122.389603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2679,2679,37.72813031578947,37.72903392105263,-122.40271463768116,-122.4038547536232,37.728582,-122.403285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8921,8921,37.77602139473685,37.776925,-122.3924535942029,-122.39359371014493,37.776473,-122.393024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2036,2036,37.72361228947368,37.72451589473684,-122.42323672463768,-122.42437684057973,37.724064,-122.423807,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
4416,4416,37.74078078947368,37.74168439473684,-122.41297568115942,-122.41411579710146,37.741233,-122.413546,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4387,4387,37.74078078947368,37.74168439473684,-122.37991231884058,-122.38105243478262,37.741233,-122.380482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11738,11738,37.80222594736842,37.80312955263157,-122.45059950724638,-122.45173962318842,37.802678,-122.45117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7164,7164,37.76156371052632,37.76246731578947,-122.45401985507247,-122.4551599710145,37.762016,-122.45459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7194,7194,37.76156371052632,37.76246731578947,-122.48822333333334,-122.48936344927536,37.762016,-122.488793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2897,2897,37.72903392105263,37.72993752631579,-122.4984843768116,-122.49962449275364,37.729486,-122.499054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7539,7539,37.76427452631579,37.76517813157895,-122.49164368115945,-122.49278379710144,37.764726,-122.492214,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
4628,4628,37.742588,37.74349160526316,-122.37421173913044,-122.37535185507248,37.74304,-122.374782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11014,11014,37.7940935,37.79499710526316,-122.42665707246375,-122.4277971884058,37.794545,-122.427227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3918,3918,37.73716636842105,37.738069973684205,-122.39131347826088,-122.3924535942029,37.737618,-122.391884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8785,8785,37.77421418421052,37.77511778947368,-122.49278379710144,-122.49392391304347,37.774666,-122.493354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11780,11780,37.80312955263157,37.804033157894736,-122.41639602898552,-122.41753614492754,37.803581,-122.416966,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0
8845,8845,37.77511778947368,37.77602139473685,-122.43349776811594,-122.43463788405798,37.77557,-122.434068,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0
5285,5285,37.74710602631579,37.74800963157895,-122.43691811594204,-122.43805823188409,37.747558,-122.437488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9124,9124,37.776925,37.77782860526315,-122.49734426086955,-122.4984843768116,37.777377,-122.497914,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6141,6141,37.75343126315789,37.754334868421054,-122.47340182608696,-122.474541942029,37.753883,-122.473972,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10005,10005,37.78415384210526,37.785057447368416,-122.48024252173914,-122.48138263768116,37.784606,-122.480813,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
1531,1531,37.719997868421046,37.72090147368421,-122.42665707246375,-122.4277971884058,37.72045,-122.427227,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0
7203,7203,37.76156371052632,37.76246731578947,-122.4984843768116,-122.49962449275364,37.762016,-122.499054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4651,4651,37.742588,37.74349160526316,-122.40043440579711,-122.40157452173914,37.74304,-122.401004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
789,789,37.714576236842106,37.71547984210526,-122.39929428985508,-122.40043440579711,37.715028,-122.399864,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
6076,6076,37.75343126315789,37.754334868421054,-122.39929428985508,-122.40043440579711,37.753883,-122.399864,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5664,5664,37.74981684210526,37.75072044736842,-122.46998147826088,-122.4711215942029,37.750269,-122.470552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6583,6583,37.75704568421053,37.757949289473686,-122.45059950724638,-122.45173962318842,37.757497,-122.45117,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
6424,6424,37.75614207894736,37.75704568421053,-122.40157452173914,-122.40271463768116,37.756594,-122.402145,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0
8398,8398,37.77150336842105,37.77240697368421,-122.4426186956522,-122.4437588115942,37.771955,-122.443189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2588,2588,37.72722671052631,37.72813031578947,-122.45173962318842,-122.45287973913044,37.727679,-122.45231,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0
7052,7052,37.76066010526316,37.76156371052632,-122.4585803188406,-122.4597204347826,37.761112,-122.45915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9524,9524,37.78053942105263,37.781443026315785,-122.4426186956522,-122.4437588115942,37.780991,-122.443189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5220,5220,37.74620242105263,37.74710602631579,-122.4984843768116,-122.49962449275364,37.746654,-122.499054,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
1579,1579,37.719997868421046,37.72090147368421,-122.48138263768116,-122.4825227536232,37.72045,-122.481953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3512,3512,37.73355194736842,37.73445555263157,-122.47226171014492,-122.47340182608696,37.734004,-122.472832,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0
